sample_id,Yp,D_H,He3oH,Li7oH,Neff,YPCMB,He3oHe4,n,p,H2,H3,He3,He4,Li7,Be7,He6,Li8,Li6,B8
59,0.24689188197573433,2.435112709258001e-05,1.041980391949219e-05,5.636395044103835e-10,3.0439772985579183,0.24556596126042074,0.0001271262772697562,3.9855400351644723e-16,0.753047900090157,1.8337565121895905e-05,5.839062608969892e-08,7.788220834835082e-06,0.061722970493933584,2.205358763225441e-11,4.0239395757184166e-10,0.0,0.0,0.0,0.0
60,0.24680169252695822,2.4699547944302824e-05,1.0501163697151922e-05,5.32611804973539e-10,3.0439772985579183,0.24547609829282907,0.00012818094995769848,4.0399789021540374e-16,0.7531373739048867,1.860215267541007e-05,5.8105273869900594e-08,7.85071357594843e-06,0.061700423131739554,2.153338625852473e-11,3.7959646984998806e-10,0.0,0.0,0.0,0.0
61,0.24704072080252806,2.4485393977066588e-05,1.0418071556807743e-05,5.9956409046603e-10,3.0439772985579183,0.2457142615510671,0.00012700342399333338,4.014312126139705e-16,0.7528988747250444,1.8435025572532812e-05,5.841513361271375e-08,7.785339218312827e-06,0.061760180200632016,2.3025056179969734e-11,4.28386072857449e-10,0.0,0.0,0.0,0.0
62,0.2470203425599359,2.4307184039453215e-05,1.0294741896394445e-05,5.488344750053858e-10,3.0439772985579183,0.24569395702345959,0.0001255137923257728,3.9969505330628795e-16,0.752919798483919,1.8301360108696646e-05,5.8902729722702015e-08,7.692212264354561e-06,0.06175508563998398,2.1988320561847638e-11,3.912400217602349e-10,0.0,0.0,0.0,0.0
63,0.24679675924703187,2.4228887109643996e-05,1.040880147272301e-05,5.544883267719157e-10,3.0439772985579183,0.24547118287445757,0.0001270570703679633,3.9730566701056627e-16,0.7531432242321401,1.8247822157313817e-05,5.7900133196477334e-08,7.781418168362378e-06,0.06169918981175797,2.20618278357384e-11,3.955472983883467e-10,0.0,0.0,0.0,0.0
64,0.2468106093638463,2.436966768485542e-05,1.0244815325912247e-05,5.186234760710852e-10,3.0439772985579183,0.24548498284607526,0.0001250460506651459,3.978653066188527e-16,0.7531295338517705,1.8353516463617717e-05,5.823748707463996e-08,7.657435503727126e-06,0.061702652340961575,2.0654197626960838e-11,3.699364591510404e-10,0.0,0.0,0.0,0.0
65,0.2470830767881662,2.4562477870570964e-05,1.0359086278710728e-05,5.526031762511986e-10,3.0439772985579183,0.2457564643396826,0.0001262556051990233,4.0561721051165477e-16,0.7528565395395379,1.8492022092154534e-05,5.856246998629344e-08,7.740343378595376e-06,0.06177076919704155,2.2962066100560348e-11,3.9306884891047437e-10,0.0,0.0,0.0,0.0
66,0.2470701643024332,2.4202426267637036e-05,1.0440309898063982e-05,5.550509605835902e-10,3.0439772985579183,0.24574359855431369,0.00012725444446480335,3.9614257452001255e-16,0.7528698096395611,1.8221276056931407e-05,5.813287878560368e-08,7.802061246747853e-06,0.0617675410756083,2.09630394159672e-11,3.9691807161885584e-10,0.0,0.0,0.0,0.0
67,0.2470829906344459,2.453808794727252e-05,1.0326988860172919e-05,5.576485848092286e-10,3.0439772985579183,0.24575637849754506,0.00012586448131196823,4.094921930420849e-16,0.7528567348695122,1.847366477192452e-05,5.915497602562466e-08,7.715588138277985e-06,0.06177074765861147,2.1723924690377557e-11,3.981055680737026e-10,0.0,0.0,0.0,0.0
68,0.2469899395618376,2.4304363465436327e-05,1.042580267239836e-05,5.420274404015656e-10,3.0439772985579183,0.2456636640142415,0.00012713241956167096,3.975729092805685e-16,0.7529499073250709,1.8299968218895123e-05,5.91820597088003e-08,7.790925096263021e-06,0.0617474848904594,2.1657467928209103e-11,3.864620430897951e-10,0.0,0.0,0.0,0.0
69,0.24689495374483567,2.414301978900047e-05,1.067200682901548e-05,5.589369464219484e-10,3.0439772985579183,0.24556902191191077,0.00013020107047195456,3.9234080896229296e-16,0.753044572280012,1.8180770010555726e-05,5.666573456815357e-08,7.979831083357174e-06,0.061723738436208916,2.1571511038596528e-11,3.993329227112156e-10,0.0,0.0,0.0,0.0
70,0.247090957185359,2.451637166841607e-05,1.0311308636422734e-05,5.522660856365098e-10,3.0439772985579183,0.24576431623714318,0.00012566800184441303,4.073213589141193e-16,0.7528488370919338,1.845712190028067e-05,5.942298505123554e-08,7.703433730775634e-06,0.06177273929633975,2.232518740664925e-11,3.9344769293011156e-10,0.0,0.0,0.0,0.0
71,0.24703658739102954,2.4314758668496123e-05,1.0453508283520531e-05,5.668329093606251e-10,3.0439772985579183,0.24571014309103661,0.00012743828374255518,3.9687256620552546e-16,0.7529031848657051,1.830665924075174e-05,5.783408211030682e-08,7.812645597572332e-06,0.061759146847757386,2.2321091777992676e-11,4.0444921096631547e-10,0.0,0.0,0.0,0.0
72,0.24695264967060104,2.4276775453381215e-05,1.045437119984194e-05,5.375715834909187e-10,3.0439772985579183,0.2456265090445236,0.00012750634435745956,3.970587443747315e-16,0.7529871712744138,1.8280100476305645e-05,5.777003903197678e-08,7.814237358189705e-06,0.06173816241765026,2.0201772384497037e-11,3.845827336258372e-10,0.0,0.0,0.0,0.0
73,0.24692551120979947,2.411504122249788e-05,1.0581945161271718e-05,5.580872911207014e-10,3.0439772985579183,0.24559946878796698,0.00012908112403650664,3.932547871184456e-16,0.7530142628432278,1.8158969989593294e-05,5.872670650346281e-08,7.909628928559023e-06,0.06173137780244987,2.1208513773331686e-11,3.990391763520971e-10,0.0,0.0,0.0,0.0
74,0.2471049049228755,2.4529452616217982e-05,1.0408447879841876e-05,5.614427630354278e-10,3.0439772985579183,0.24577821353434223,0.00012684232606744708,4.019503795516711e-16,0.7528346513555547,1.8466621908273065e-05,5.779834054042553e-08,7.778041890232796e-06,0.06177622623071888,2.2239059035755207e-11,4.0043450773012046e-10,0.0,0.0,0.0,0.0
75,0.24699951987401808,2.4021506916705995e-05,1.0688392908404525e-05,5.733010907326323e-10,3.0439772985579183,0.24567320966632372,0.0001303277071195058,3.9324942158329623e-16,0.7529401604306473,1.8086757271650514e-05,5.781124478581646e-08,7.98990902641408e-06,0.06174987996850452,2.2955118533088443e-11,4.0870629669820476e-10,0.0,0.0,0.0,0.0
76,0.24695179965382266,2.4404339700217404e-05,1.0306785608302049e-05,5.563415826102411e-10,3.0439772985579183,0.24562566210348882,0.00012570692039941354,4.011631956825008e-16,0.7529881623949183,1.8376178905328054e-05,5.807591886097462e-08,7.702811636532777e-06,0.061737949913455666,2.3696096804997714e-11,3.9522252914856837e-10,0.0,0.0,0.0,0.0
77,0.24721791267276855,2.4392698175749452e-05,1.017696072794671e-05,5.60226132882515e-10,3.0439772985579183,0.24589081270721985,0.00012394613367770443,3.999394118268226e-16,0.7527223812389678,1.8360929855693556e-05,5.827671080296374e-08,7.6021494021125434e-06,0.06180447816819214,2.0187909005512834e-11,4.0150683977011227e-10,0.0,0.0,0.0,0.0
