YPBBN	DoH	He3oH	Li7oH	Neff	YPCMB	He3oHe4	n	p	H2	H3	He3	He4	Li7	Be7	He6	Li8	Li6	B8
2.4683641247e-01	2.4383366731e-05	1.0473415636e-05	5.5708644626e-10	3.0439772986e+00	2.4551069254e-01	1.2781846414e-04	4.0011687612e-16	7.5310319552e-01	1.8363191402e-05	5.9128642410e-08	7.8284341414e-06	6.1709103117e-02	2.2385847477e-11	3.9715773538e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4692364698e-01	2.4346943832e-05	1.0538170573e-05	5.5859117412e-10	3.0439772986e+00	2.4559761130e-01	1.2854839703e-04	3.9778095820e-16	7.5301587658e-01	1.8333635251e-05	5.8005430602e-08	7.8774043210e-06	6.1730911744e-02	2.1347447914e-11	3.9928057471e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4665405877e-01	2.4550158714e-05	1.0303556505e-05	5.8206343275e-10	3.0439772986e+00	2.4532899921e-01	1.2586894331e-04	4.0655719252e-16	7.5328566703e-01	1.8493282682e-05	5.9123455358e-08	7.7023979795e-06	6.1663514693e-02	2.2461544419e-11	4.1599849678e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698525112e-01	2.4560425121e-05	1.0363026472e-05	5.5948996631e-10	3.0439772986e+00	2.4565899254e-01	1.2637007014e-04	4.0431576873e-16	7.5295435151e-01	1.8492878970e-05	5.8288492670e-08	7.7445973845e-06	6.1746312781e-02	2.2000982071e-11	3.9926942269e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4689091995e-01	2.4198800784e-05	1.0524353702e-05	5.7099181673e-10	3.0439772986e+00	2.4556500272e-01	1.2840249465e-04	3.9235909604e-16	7.5304885523e-01	1.8222879228e-05	5.7967222631e-08	7.8673852846e-06	6.1722729988e-02	2.2254877583e-11	4.0772985635e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4709920416e-01	2.4704676318e-05	1.0492551589e-05	5.5206680575e-10	3.0439772986e+00	2.4577253339e-01	1.2787109525e-04	3.9898712708e-16	7.5283989796e-01	1.8598665999e-05	5.7416039922e-08	7.8417954280e-06	6.1774801041e-02	2.2380262042e-11	3.9323765567e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4715018790e-01	2.4176253860e-05	1.0573092889e-05	5.4324716748e-10	3.0439772986e+00	2.4582333277e-01	1.2881744037e-04	3.9589006831e-16	7.5278953204e-01	1.8199630830e-05	5.7985597834e-08	7.9013280500e-06	6.1787546975e-02	2.1628857477e-11	3.8732192351e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4694776483e-01	2.4512905918e-05	1.0352955751e-05	5.4929541273e-10	3.0439772986e+00	2.4562164188e-01	1.2627273026e-04	4.0483716995e-16	7.5299192916e-01	1.8458020316e-05	6.0150311413e-08	7.7355418124e-06	6.1736941206e-02	2.2620035843e-11	3.9099497667e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4705406503e-01	2.4063831172e-05	1.0407531132e-05	5.7112189227e-10	3.0439772986e+00	2.4572755751e-01	1.2686593864e-04	3.9505012436e-16	7.5288619025e-01	1.8117326174e-05	5.7406103697e-08	7.7782803602e-06	6.1763516257e-02	2.0655181378e-11	4.0933460426e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4693209230e-01	2.4331620481e-05	1.0526084184e-05	5.7318596927e-10	3.0439772986e+00	2.4560602607e-01	1.2839514014e-04	3.9681210372e-16	7.5300748223e-01	1.8321892277e-05	5.8119355335e-08	7.8681007939e-06	6.1733023076e-02	2.4442946054e-11	4.0717037751e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4712672057e-01	2.4162494566e-05	1.0662952996e-05	5.8176413958e-10	3.0439772986e+00	2.4579995029e-01	1.2992860737e-04	3.8662146288e-16	7.5281281507e-01	1.8189835554e-05	5.7024336025e-08	7.9701833258e-06	6.1781680142e-02	2.1713603897e-11	4.1624589573e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4696742612e-01	2.4416305351e-05	1.0100316424e-05	5.2824084729e-10	3.0439772986e+00	2.4564123202e-01	1.2317843748e-04	4.0175884479e-16	7.5297298567e-01	1.8384818339e-05	5.9851673553e-08	7.5454137406e-06	6.1741856529e-02	2.0875446813e-11	3.7687564112e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4697615737e-01	2.4636600895e-05	1.0385794732e-05	5.3560487848e-10	3.0439772986e+00	2.4564993169e-01	1.2665387841e-04	4.0897609940e-16	7.5296327853e-01	1.8550455782e-05	5.8257155192e-08	7.7618648963e-06	6.1744039344e-02	2.0702028391e-11	3.8258877690e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4694049138e-01	2.4312529439e-05	1.0365947542e-05	5.4506649762e-10	3.0439772986e+00	2.4561439475e-01	1.2643617914e-04	3.9812613832e-16	7.5299947445e-01	1.8307321890e-05	5.8237579426e-08	7.7473154718e-06	6.1735122845e-02	2.0781298352e-11	3.8965348790e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698933909e-01	2.4059867805e-05	1.0387911664e-05	5.6664626582e-10	3.0439772986e+00	2.4566306571e-01	1.2667086122e-04	3.9027922006e-16	7.5295096136e-01	1.8115900594e-05	5.7816067574e-08	7.7637720062e-06	6.1747334771e-02	2.1168575581e-11	4.0548827502e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4704906766e-01	2.3761874596e-05	1.0447525052e-05	5.5787324233e-10	3.0439772986e+00	2.4572257822e-01	1.2735694041e-04	3.8774948709e-16	7.5289155161e-01	1.7890114633e-05	5.7080077973e-08	7.8087732689e-06	6.1762266915e-02	2.0994757433e-11	3.9902329359e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698376571e-01	2.3976325677e-05	1.0329543335e-05	5.3913899088e-10	3.0439772986e+00	2.4565751250e-01	1.2596293187e-04	3.9222299873e-16	7.5295679208e-01	1.8053137267e-05	5.9031638016e-08	7.7186681751e-06	6.1745941428e-02	2.0416956648e-11	3.8553140841e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4669664100e-01	2.4066886038e-05	1.0333077556e-05	5.5405748116e-10	3.0439772986e+00	2.4537142719e-01	1.2620076305e-04	3.9866251238e-16	7.5324374964e-01	1.8128231482e-05	5.9462251635e-08	7.7238638323e-06	6.1674160249e-02	2.2193578285e-11	3.9514675634e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698901985e-01	2.4778465470e-05	1.0170325723e-05	5.4751107898e-10	3.0439772986e+00	2.4566274763e-01	1.2401771992e-04	4.1082973894e-16	7.5295069008e-01	1.8656962675e-05	5.8933576117e-08	7.5988201953e-06	6.1747254962e-02	2.2271092027e-11	3.8997775272e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4693110472e-01	2.4274805485e-05	1.0506213546e-05	5.5496573474e-10	3.0439772986e+00	2.4560504206e-01	1.2815346475e-04	3.9658368392e-16	7.5300860027e-01	1.8279137300e-05	5.8167569182e-08	7.8531015870e-06	6.1732776180e-02	2.1250575899e-11	3.9664339522e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4698544759e-01	2.4431658653e-05	1.0555170377e-05	5.6144217672e-10	3.0439772986e+00	2.4565918829e-01	1.2871295756e-04	3.9924244528e-16	7.5295391496e-01	1.8395913032e-05	5.8566928554e-08	7.8889899297e-06	6.1746361897e-02	2.0836389251e-11	4.0190369573e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4711084133e-01	2.4544568087e-05	1.0604801421e-05	5.5946480942e-10	3.0439772986e+00	2.4578412847e-01	1.2923098064e-04	4.1074036784e-16	7.5282824926e-01	1.8477844222e-05	5.8395214048e-08	7.9251988737e-06	6.1777710331e-02	2.1979157935e-11	3.9920175506e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4701626015e-01	2.4208737713e-05	1.0399073383e-05	5.4775977210e-10	3.0439772986e+00	2.4568988938e-01	1.2678857290e-04	3.9895333064e-16	7.5292379317e-01	1.8227334627e-05	5.8776329963e-08	7.7709334471e-06	6.1754065036e-02	2.1993264207e-11	3.9042810115e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4693440949e-01	2.4632685752e-05	1.0424326232e-05	5.4316043516e-10	3.0439772986e+00	2.4560833487e-01	1.2715229416e-04	4.1019467959e-16	7.5300494187e-01	1.8548534103e-05	6.0360634084e-08	7.7892085341e-06	6.1733602372e-02	2.1944612229e-11	3.8705787968e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4703472251e-01	2.4280374978e-05	1.0288538314e-05	5.4544636671e-10	3.0439772986e+00	2.4570828496e-01	1.2542846994e-04	3.9867032000e-16	7.5290547407e-01	1.8280827233e-05	5.8676154352e-08	7.6876206621e-06	6.1758680629e-02	2.1292033249e-11	3.8937752206e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
