observable,X_C,X_Python,Delta_X,rel_delta_X
Neff,3.0439772985579183,3.0439772985579183,0.0,0.0
YPBBN,0.24700576024756277,0.24699911663931173,6.643608251033495e-06,2.6897295591283567e-05
YPCMB,0.24567942746385665,0.24567280789043233,6.61957342432129e-06,2.6944672799415208e-05
DoH,2.435053614262859e-05,2.435000597027577e-05,5.3017235282057e-10,2.1772986563853632e-05
He3oH,1.0398101923559315e-05,1.0398020167031434e-05,8.175652788162849e-11,7.862701415106934e-06
He3oHe4,0.00012678385000845953,0.00012678738205925365,-3.5320507941213972e-09,2.7858062346225472e-05
Li7oH,5.560201537691593e-10,5.560167445358853e-10,3.4092332739769087e-15,6.131529863947968e-06
