comparison,observable,X_run,X_reference,Delta_X,delta_X_relative
baseline_vs_task_reference,Neff,3.0439772985579183,3.0439773,-1.4420815652727015e-09,4.737491193750694e-10
baseline_vs_task_reference,YPBBN,0.24700576024756277,0.24699808,7.68024756275798e-06,3.109436139243665e-05
baseline_vs_task_reference,DoH,2.435053614262859e-05,2.4365389e-05,-1.4852857371408745e-08,0.0006095883538493371
documented_example_vs_task_reference,Neff,3.0439772985579183,3.0439773,-1.4420815652727015e-09,4.737491193750694e-10
documented_example_vs_task_reference,YPBBN,0.2470074000297919,0.24699808,9.320029791898277e-06,3.773320744800233e-05
documented_example_vs_task_reference,DoH,2.4366231216471615e-05,2.4365389e-05,8.42216471615972e-10,3.456609995498008e-05
